3988,3719,1,1388539679
3719,3988,1,1388539705
3910,625,1,1388549460
625,3910,1,1388549462
1885,905,1,1388558708
905,1885,1,1388560087
4499,5025,2,1388606811
5025,4499,2,1388606915
4553,905,4,1388616703
5251,3734,-1,1388622814
1502,2304,1,1388633067
2304,1502,1,1388633120
4291,4850,1,1388635480
4850,4291,3,1388635904
3897,4943,2,1388640226
4943,3897,2,1388640352
1363,159,1,1388644692
5228,5212,1,1388648988
2934,4172,8,1388691821
2125,705,-2,1388719310
13,705,-2,1388719392
93,5260,1,1388719622
5260,93,1,1388720648
3545,4833,4,1388721747
4833,5175,1,1388723358
5175,4833,1,1388723951
2313,2042,1,1388761991
2313,4767,1,1388762126
2313,5261,1,1388762438
3837,3897,10,1388763468
4833,5228,1,1388787119
5228,4833,1,1388787265
2125,5262,-2,1388788323
5054,5227,2,1388790090
5227,5054,2,1388790145
3099,5263,1,1388794977
5234,3804,3,1388818572
2635,5264,1,1388821252
4562,5146,1,1388850539
5146,4562,1,1388850623
5151,3880,3,1388851373
3880,5151,3,1388851380
3880,5224,1,1388851483
5224,3880,1,1388872924
5224,2378,1,1388873028
469,3699,1,1388901623
3699,469,1,1388901726
5025,5227,-1,1388906534
2042,2313,1,1388907109
4172,51,1,1388923052
51,4172,1,1388923332
51,5257,1,1388923387
5257,51,1,1388923694
4172,5224,2,1388926644
5224,4172,2,1388926660
2635,5224,1,1388929115
5224,3422,1,1388929342
3422,5224,1,1388929493
4840,4833,1,1388945908
4833,4840,1,1388945992
4833,3630,1,1388946014
3630,4833,1,1388946038
35,5265,1,1388950163
1919,3000,1,1388951147
905,3699,1,1388951291
3699,905,1,1388951441
4833,3910,1,1388958839
3910,4833,1,1388958872
4833,705,-2,1388959812
4833,4197,1,1388968766
4197,4833,1,1388968924
2388,5267,1,1388977292
4315,5218,2,1388978721
5265,35,5,1389010193
3000,1919,1,1389024846
550,4833,1,1389039360
4833,550,1,1389039365
4833,4694,8,1389040748
4554,5255,1,1389044321
4554,5268,1,1389044340
2045,5269,1,1389045679
5269,2045,1,1389046599
4833,2625,2,1389050523
2625,4833,2,1389050545
905,1018,6,1389072180
2125,5270,-2,1389079396
4172,5269,1,1389106718
2125,1585,1,1389115159
4197,3194,3,1389115331
5271,4002,1,1389115899
3272,1018,6,1389116959
4197,2901,1,1389117005
2835,5272,1,1389119989
546,1850,1,1389121509
5103,51,3,1389125463
51,5103,3,1389125877
2233,4197,1,1389131253
4197,2233,1,1389131267
4694,1731,6,1389132222
4694,4833,7,1389132245
446,4197,1,1389134407
4197,446,1,1389134453
5228,4694,1,1389141013
4694,5228,1,1389141163
4320,4884,8,1389141263
3649,5141,1,1389145510
5141,3649,1,1389145551
5228,4197,3,1389148415
4833,4593,1,1389150947
5025,4593,2,1389151241
2388,4833,1,1389152148
4197,5228,1,1389152860
2388,2318,1,1389153477
5025,5141,-2,1389156338
4850,1018,2,1389157048
1018,4850,1,1389160228
625,5227,1,1389171972
3018,3776,-10,1389172384
5227,625,1,1389172538
2399,5188,-10,1389174614
4562,35,2,1389188463
2125,5273,-2,1389192371
2387,3776,-10,1389205790
4172,3776,-10,1389207902
4172,3513,-1,1389213253
5269,4172,1,1389220063
4172,146,1,1389221332
146,4172,1,1389221657
4365,4592,1,1389223394
4291,4197,7,1389223863
4197,4291,5,1389223953
4172,4592,-1,1389223978
2110,4592,1,1389224384
5267,2388,1,1389238909
4532,4559,2,1389250604
35,5227,1,1389258592
35,5274,1,1389258608
35,5275,1,1389258617
2125,5276,-2,1389277167
4833,2642,4,1389290433
2642,4833,4,1389290491
3451,4592,-10,1389298013
3804,5228,1,1389298973
5228,3804,1,1389300424
2125,5277,-1,1389300466
2305,4002,2,1389304991
4002,2305,2,1389305202
4002,2377,2,1389305278
3897,3229,1,1389309981
3229,3897,1,1389310049
4002,5271,2,1389316672
5267,3804,1,1389335689
3804,5267,1,1389335810
4774,5267,1,1389337513
5267,4774,1,1389337991
5103,4833,1,1389351235
4833,5103,1,1389351918
2318,1565,5,1389355810
4119,3897,1,1389360731
3897,4119,1,1389360795
215,3656,1,1389363345
5269,5278,1,1389375227
5278,5269,1,1389375260
3725,905,2,1389408683
5261,2313,1,1389438242
1731,4694,3,1389447472
4172,5279,1,1389514905
5279,4172,1,1389514998
4172,3598,1,1389515114
4635,5280,1,1389518423
5280,4635,1,1389518540
3781,4833,1,1389520709
4833,3781,1,1389520717
1508,550,1,1389528792
550,1508,1,1389528827
2125,5281,-2,1389533834
4833,215,2,1389542106
